task_id,valid_pair,b0_pass,b1_pass,outcome,b0_input_tokens,b0_output_tokens,b0_cost,b0_runtime,b1_input_tokens,b1_output_tokens,b1_cost,b1_runtime,b1_route_counts,b1_successful_repairs_by_route,b1_failed_repairs_by_route
Prob122_kmap4,True,True,True,both_pass,22412,4712,0.010372,0:00:26.832894,5206,2070,0.003629,0:00:15.068648,{},{},{}
Prob123_bugs_addsubz,True,True,True,both_pass,6403,2905,0.004912,0:00:23.380024,6387,2828,0.004812,0:00:18.093522,{},{},{}
Prob124_rule110,True,True,True,both_pass,43949,10439,0.021839,0:00:58.440271,6197,3039,0.005038,0:00:28.517294,{},{},{}
Prob125_kmap3,True,True,True,both_pass,34730,11275,0.021040,0:01:03.658440,29648,11965,0.020886,0:01:03.358645,"{""logic"": 3}","{""logic"": 1}","{""logic"": 1}"
Prob126_circuit6,True,True,True,both_pass,5458,2516,0.004237,0:00:17.248669,5438,2486,0.004195,0:00:17.599941,{},{},{}
Prob127_lemmings1,True,True,True,both_pass,33185,8259,0.016961,0:00:48.911236,27564,7453,0.014829,0:00:36.145992,"{""logic"": 1}",{},{}
Prob128_fsm_ps2,True,True,True,both_pass,38307,9683,0.019765,0:00:52.929940,35712,8892,0.018257,0:00:42.449697,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob129_ece241_2013_q8,True,True,True,both_pass,6453,3660,0.005866,0:00:23.375809,6386,3947,0.006211,0:00:28.000676,{},{},{}
Prob130_circuit5,True,False,True,routed_only_pass,38720,5926,0.015152,0:00:34.788629,6224,2583,0.004474,0:00:21.885526,{},{},{}
Prob131_mt2015_q4,False,False,True,routed_only_pass,15700,6551,0.011329,0:00:45.406486,5515,2381,0.004079,0:00:15.891195,{},{},{}
Prob132_always_if2,True,True,True,both_pass,6188,2971,0.004951,0:00:19.988045,6217,2954,0.004936,0:00:22.360763,{},{},{}
Prob133_2014_q3fsm,True,False,False,both_fail,52977,15208,0.029605,0:01:23.132963,39305,11654,0.022429,0:01:07.626668,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob134_2014_q3c,True,True,True,both_pass,11224,5334,0.008912,0:00:36.742348,23927,8323,0.015189,0:00:37.041826,"{""logic"": 1}",{},{}
Prob135_m2014_q6b,True,True,True,both_pass,5563,3222,0.005140,0:00:19.466797,41553,13139,0.024734,0:01:09.761212,"{""ambiguous_runnable"": 4}",{},"{""ambiguous_runnable"": 3}"
Prob136_m2014_q6,True,True,True,both_pass,28317,8977,0.016885,0:00:45.046545,5529,3154,0.005048,0:00:21.362021,{},{},{}
Prob137_fsm_serial,True,True,True,both_pass,25658,9469,0.016968,0:00:39.282570,5698,3619,0.005663,0:00:24.718013,{},{},{}
Prob138_2012_q2fsm,False,True,True,both_pass,17575,7410,0.012778,0:00:47.935285,35180,7670,0.016623,0:00:38.089211,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob139_2013_q2bfsm,True,True,True,both_pass,32864,14685,0.024929,0:01:04.683078,6215,4415,0.006762,0:00:35.036683,{},{},{}
Prob140_fsm_hdlc,True,True,True,both_pass,37445,15793,0.027230,0:01:17.910247,6552,4157,0.006507,0:00:31.623046,{},{},{}
Prob141_count_clock,False,False,False,both_fail,23679,12287,0.020095,0:01:20.185738,23691,12299,0.020112,0:01:33.960325,{},{},{}
Prob142_lemmings2,True,True,True,both_pass,40738,15458,0.027470,0:01:20.574848,31999,10651,0.019714,0:00:53.061436,"{""logic"": 1}",{},{}
Prob143_fsm_onehot,False,True,True,both_pass,29615,11236,0.019968,0:01:17.861714,37357,11637,0.022018,0:00:55.382684,"{""logic"": 2}","{""logic"": 1}",{}
Prob144_conwaylife,True,True,True,both_pass,14979,7470,0.012333,0:00:49.573308,102546,18995,0.044253,0:02:00.118085,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob145_circuit8,True,False,False,both_fail,49641,9195,0.021422,0:00:54.292065,43984,7373,0.018013,0:00:42.316674,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob146_fsm_serialdata,True,True,True,both_pass,38591,12606,0.023476,0:00:56.045430,44267,13782,0.026081,0:01:09.778010,"{""logic"": 4}",{},"{""logic"": 3}"
Prob147_circuit10,True,False,False,both_fail,55764,12787,0.027137,0:01:16.723005,45348,11333,0.023236,0:00:51.037965,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob148_2013_q2afsm,True,True,True,both_pass,14507,6725,0.011308,0:00:51.453732,35194,11090,0.020901,0:00:49.601494,"{""logic"": 1}",{},{}
Prob149_ece241_2013_q4,True,False,False,both_fail,66454,18178,0.036013,0:01:35.924110,73429,19123,0.038590,0:01:39.708645,"{""logic"": 4}",{},"{""logic"": 3}"
Prob150_review2015_fsmonehot,False,False,False,both_fail,25211,12279,0.020391,0:01:15.526729,25212,12279,0.020391,0:01:22.817927,{},{},{}
Prob151_review2015_fsm,True,True,False,mage_only_pass,46768,13886,0.026711,0:01:01.352371,53355,12850,0.026734,0:00:57.215146,"{""logic"": 4}",{},"{""logic"": 3}"
Prob152_lemmings3,False,True,False,mage_only_pass,38084,15533,0.027033,0:01:39.475607,23969,12279,0.020143,0:01:21.438760,{},{},{}
Prob153_gshare,False,False,False,both_fail,25181,12280,0.020386,0:01:16.500370,25182,12279,0.020385,0:01:20.105816,{},{},{}
Prob154_fsm_ps2data,True,True,False,mage_only_pass,35187,9731,0.019201,0:00:47.690409,48002,10325,0.022507,0:00:55.138473,"{""syntax"": 4}",{},"{""syntax"": 3}"
Prob155_lemmings4,False,False,False,both_fail,27153,12279,0.020779,0:01:26.203515,27152,12279,0.020779,0:01:14.581780,{},{},{}
Prob156_review2015_fancytimer,False,False,True,routed_only_pass,31350,12127,0.021429,0:01:19.047349,37551,18121,0.030161,0:01:25.517922,"{""logic"": 2}","{""logic"": 1}",{}
